,Anchorage,Atlanta GA,Austin,Baltimore,Boston,Chicago,Dallas,Denver,Honolulu,Houston,Indianapolis,Jacksonville FL,Las Vegas,Los Angeles,Memphis,Miami,New Orleans,New York City,Newark,Philadelphia,Phoenix AZ,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Tampa,Tucson,Washington DC
Anchorage,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Atlanta,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Austin,1E+12,1E+12,0,1E+12,1E+12,1E+12,195,1E+12,1E+12,165,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,79.8,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Baltimore,1E+12,1E+12,1E+12,0,1E+12,702,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,106,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,38.3
Boston,1E+12,1E+12,1E+12,1E+12,0,982,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,215,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Chicago,1E+12,1E+12,1E+12,702,982,0,967,1004,1E+12,1E+12,184,1E+12,1E+12,1E+12,532,1E+12,1E+12,1E+12,779,758,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,2063,1E+12,1E+12,700
Dallas,1E+12,1E+12,195,1E+12,1E+12,967,0,794,1E+12,239,1E+12,1E+12,1218,1E+12,1E+12,1E+12,506,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,952,1E+12
Denver,1E+12,1E+12,1E+12,1E+12,1E+12,1004,795,0,1E+12,1E+12,1E+12,1E+12,749,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1243,1E+12,1E+12,1254,1274,1317,1E+12,1E+12,1E+12
Honolulu,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Houston,1E+12,1E+12,165,1E+12,1E+12,1E+12,239,1E+12,1E+12,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,348,1E+12,1E+12,1E+12,1E+12,1E+12,197,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Indianapolis,1E+12,533,1E+12,1E+12,1E+12,182,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12,464,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,577
Jacksonville,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Las Vegas,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1216,749,1E+12,1E+12,1E+12,1E+12,0,271,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,298,1E+12,1E+12,1E+12,1E+12,528,1E+12,1E+12,1E+12,1E+12
Los Angeles,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,270,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,120,382,340,1E+12,1E+12,1E+12,1E+12
Memphis,1E+12,384,1E+12,1E+12,1E+12,532,1E+12,1E+12,1E+12,1E+12,464,1E+12,1E+12,1E+12,0,1E+12,395,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Miami,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,347,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,282,1E+12,1E+12
New Orleans,1E+12,469,1E+12,1E+12,1E+12,1E+12,505,1E+12,1E+12,348,1E+12,546,1E+12,1E+12,395,1E+12,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
New York City,1E+12,1E+12,1E+12,1E+12,215,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,13.9,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Newark,1E+12,1E+12,1E+12,1E+12,1E+12,779,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,15.3,0,88,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Philadelphia,1E+12,1E+12,1E+12,105,1E+12,758,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,88.4,0,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Phoenix,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12
Portland,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1242,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,636,1E+12,173,1E+12,1E+12,1E+12
San Antonio,1E+12,1E+12,79.5,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,197,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12,1E+12,1E+12,869,1E+12
San Diego,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,120,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12,1E+12,407,1E+12
San Francisco,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1254,1E+12,1E+12,1E+12,1E+12,1E+12,383,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,635,1E+12,1E+12,0,48.3,1E+12,1E+12,1E+12,1E+12
San Jose,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1273,1E+12,1E+12,1E+12,1E+12,527,341,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,48.4,0,1E+12,1E+12,1E+12,1E+12
Seattle,1E+12,1E+12,1E+12,1E+12,1E+12,2064,1E+12,1309,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,174,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12,1E+12
Tampa,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,198,1E+12,1E+12,1E+12,280,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0,1E+12,1E+12
Tucson,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,952,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,113,1E+12,868,407,1E+12,1E+12,1E+12,1E+12,0,1E+12
Washington DC,1E+12,1E+12,1E+12,38.6,1E+12,699,1E+12,1E+12,1E+12,1E+12,576,706,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,1E+12,0
